  1 t=     0 w 0 g=   0 pan=    0 hp=  100/100 hero=(0,12) alv= 0 wr=0 th=0 st=0 wk=0 {}
  2 t=   5.8 w 0 g=  30 pan=   30 hp=  100/100 hero=(0,12) alv= 0 wr=0 th=0 st=0 wk=0 {}
  3 t=  14.4 w 0 g=  60 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=0 wk=0 {}
  4 t= 14.47 w 0 g=  60 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=0 wk=0 {}
  5 t= 20.77 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  6 t= 20.93 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  7 t=  21.1 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  8 t=  21.3 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  9 t=    30 w 1 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 7 wr=0 th=0 st=1 wk=0 {"turret":1}
 10 t= 31.93 w 1 g=  40 pan=   90 hp=  100/100 hero=(0,12) alv= 7 wr=0 th=0 st=1 wk=0 {"turret":1}
 11 t= 60.03 w 2 g=  29 pan=  104 hp=  100/100 hero=(0,12) alv=17 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 12 t=  63.9 w 2 g=  45 pan=  120 hp=  100/100 hero=(0,12) alv=14 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 13 t= 67.97 w 2 g=  75 pan=  150 hp=  100/100 hero=(0,12) alv=10 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 14 t= 68.03 w 2 g=  75 pan=  150 hp=  100/100 hero=(0,12) alv=14 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 15 t= 90.03 w 3 g=   5 pan=  150 hp=  100/100 hero=(0,12) alv=11 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 16 t=  95.9 w 3 g=  35 pan=  180 hp=  100/100 hero=(0,12) alv= 5 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 17 t=  99.4 w 3 g=  65 pan=  210 hp=  100/100 hero=(0,12) alv= 6 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 18 t=120.03 w 4 g=   5 pan=  210 hp=  100/100 hero=(0,12) alv=14 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 19 t=121.33 w 4 g=   5 pan=  210 hp=  100/100 hero=(0,12) alv=11 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2} OFFER
 20 t=122.57 w 4 g=  35 pan=  240 hp=  100/100 hero=(0,12) alv=10 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 21 t=125.17 w 4 g=  35 pan=  240 hp=  100/100 hero=(0,12) alv= 6 wr=0 th=0 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2} OFFER
 22 t=126.47 w 4 g=  65 pan=  270 hp=  100/100 hero=(0,12) alv= 5 wr=0 th=0 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 23 t= 130.2 w 4 g=  65 pan=  270 hp=  100/100 hero=(0,12) alv=10 wr=2 th=1 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 24 t= 132.7 w 4 g=   5 pan=  270 hp=  100/100 hero=(0,12) alv= 8 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 25 t=138.13 w 4 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv= 3 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 26 t=150.03 w 5 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv=10 wr=0 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 27 t=151.17 w 5 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv= 9 wr=0 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 28 t=154.23 w 5 g=  35 pan=  300 hp=  125/125 hero=(0,12) alv= 6 wr=0 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 29 t=157.93 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 2 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 30 t=163.93 w 5 g=  28 pan=  330 hp=  125/125 hero=(0,12) alv= 7 wr=1 th=0 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2} OFFER
 31 t=180.03 w 6 g=  37 pan=  330 hp=  125/125 hero=(0,12) alv=16 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 32 t=180.27 w 6 g=  37 pan=  330 hp=  125/125 hero=(0,12) alv=14 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2} OFFER
 33 t= 182.4 w 6 g=  67 pan=  360 hp=  150/150 hero=(0,12) alv=12 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 34 t=182.43 w 6 g=  67 pan=  360 hp=  150/150 hero=(0,12) alv=12 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 35 t=182.47 w 6 g=  67 pan=  360 hp=  150/150 hero=(0,12) alv=12 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 36 t=188.07 w 6 g=  70 pan=  360 hp=  150/150 hero=(0,12) alv=13 wr=2 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 37 t= 188.4 w 6 g=  70 pan=  360 hp=  150/150 hero=(0,12) alv=13 wr=2 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 38 t=188.43 w 6 g=  70 pan=  360 hp=  150/150 hero=(0,12) alv=13 wr=2 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 39 t=188.47 w 6 g=  70 pan=  360 hp=  150/150 hero=(0,12) alv=13 wr=2 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 40 t=194.97 w 6 g=  39 pan=  360 hp=  150/150 hero=(0,12) alv=12 wr=0 th=1 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2} OFFER
 41 t= 196.7 w 6 g=  69 pan=  390 hp=  150/150 hero=(0,12) alv=10 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 42 t=196.73 w 6 g=  69 pan=  390 hp=  150/150 hero=(0,12) alv=10 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 43 t=196.77 w 6 g=  69 pan=  390 hp=  150/150 hero=(0,12) alv=10 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 44 t=203.43 w 6 g=  75 pan=  390 hp=  150/150 hero=(0,12) alv=11 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 45 t= 203.8 w 6 g=  75 pan=  390 hp=  150/150 hero=(0,12) alv=10 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 46 t=203.83 w 6 g=  75 pan=  390 hp=  150/150 hero=(0,12) alv=10 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 47 t=203.87 w 6 g=  75 pan=  390 hp=  150/150 hero=(0,12) alv=10 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 48 t= 203.9 w 6 g=  75 pan=  390 hp=  150/150 hero=(0,12) alv=10 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 49 t=203.93 w 6 g=  75 pan=  390 hp=  150/150 hero=(0,12) alv=10 wr=0 th=0 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 50 t=210.03 w 7 g=  84 pan=  390 hp=  150/150 hero=(0,12) alv=22 wr=0 th=2 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 51 t= 210.4 w 7 g=  84 pan=  390 hp=  150/150 hero=(0,12) alv=22 wr=0 th=2 st=7 wk=0 {"sentry_beacon":1,"sluice":2,"stockpile":2,"turret":2}
 52 t= 215.7 w 7 g=  10 pan=  390 hp=  150/150 hero=(0,12) alv=16 wr=0 th=1 st=9 wk=0 {"sentry_beacon":3,"sluice":2,"stockpile":2,"turret":2} OFFER
 53 t= 216.8 w 7 g=  43 pan=  420 hp=  150/150 hero=(0,12) alv=13 wr=0 th=1 st=9 wk=0 {"sentry_beacon":3,"sluice":2,"stockpile":2,"turret":2}
