bld-chapel.png	gameplay cutout	1024x1024->384x384	1991KB->297KB	-1694KB
bld-claim-office.png	gameplay cutout	1024x1024->384x384	1961KB->293KB	-1668KB
bld-general-store.png	gameplay cutout	1024x1024->384x384	1986KB->295KB	-1691KB
bld-palisade.png	gameplay cutout	1024x1024->384x384	1459KB->237KB	-1223KB
bld-schoolhouse.png	gameplay cutout	1024x1024->384x384	1868KB->283KB	-1585KB
bld-sentry-beacon.png	gameplay cutout	1024x1024->384x384	2228KB->336KB	-1893KB
bld-signal-turret.png	gameplay cutout	1024x1024->384x384	1236KB->204KB	-1032KB
bld-sluice-works.png	gameplay cutout	1024x1024->384x384	1554KB->246KB	-1308KB
bld-stockpile-yard.png	gameplay cutout	1024x1024->384x384	1819KB->277KB	-1543KB
bld-tavern.png	gameplay cutout	1024x1024->384x384	1893KB->290KB	-1603KB
char-hero-sheet-back-r0c0.png	sprite cell	512x512->256x256	257KB->71KB	-186KB
char-hero-sheet-back-r0c1.png	sprite cell	512x512->256x256	253KB->70KB	-183KB
char-hero-sheet-back-r0c2.png	sprite cell	512x512->256x256	250KB->69KB	-181KB
char-hero-sheet-back-r1c0.png	sprite cell	512x512->256x256	231KB->64KB	-167KB
char-hero-sheet-back-r1c1.png	sprite cell	512x512->256x256	240KB->66KB	-174KB
char-hero-sheet-back-r1c2.png	sprite cell	512x512->256x256	252KB->70KB	-182KB
char-hero-sheet-front-r0c0.png	sprite cell	512x512->256x256	255KB->69KB	-186KB
char-hero-sheet-front-r0c1.png	sprite cell	512x512->256x256	251KB->69KB	-182KB
char-hero-sheet-front-r0c2.png	sprite cell	512x512->256x256	244KB->67KB	-177KB
char-hero-sheet-front-r1c0.png	sprite cell	512x512->256x256	258KB->70KB	-188KB
char-hero-sheet-front-r1c1.png	sprite cell	512x512->256x256	225KB->61KB	-164KB
char-hero-sheet-front-r1c2.png	sprite cell	512x512->256x256	236KB->65KB	-171KB
