v	t	wave	gold	pan	stolen	hp	maxHp	hx	hz	alive	wr	th	stand	wrecked	kinds	offer	sec
1	0	0	0	0	0	100	100	0	12	0	0	0	0	7	{"lantern_post":7}	0	0
2	0.9	0	0	0	0	100	100	0	12	0	0	0	0	7	{"lantern_post":7}	0	0
3	7	0	60	60	0	100	100	0	12	0	0	0	0	7	{"lantern_post":7}	0	0
4	9.4	0	10	60	0	100	100	0	12	1	0	0	1	7	{"turret":1,"lantern_post":7}	0	0
5	30	1	2	60	0	100	100	0	12	5	0	0	2	6	{"turret":1,"lantern_post":7}	0	0
6	39.4	1	54	120	0	100	100	0	12	2	0	0	3	5	{"turret":1,"lantern_post":7}	0	0
7	41.9	1	14	120	0	100	100	0	12	2	0	0	4	5	{"sluice":1,"turret":1,"lantern_post":7}	0	0
8	60	2	23	120	0	100	100	0	12	7	0	0	4	5	{"sluice":1,"turret":1,"lantern_post":7}	0	0
9	70.3	2	89	180	0	100	100	0	12	5	0	0	4	5	{"sluice":1,"turret":1,"lantern_post":7}	0	0
10	76.7	2	92	180	0	100	100	0	12	3	0	0	4	5	{"sluice":1,"turret":1,"lantern_post":7}	0	0
11	90	3	64	180	0	100	100	0	12	8	0	0	5	5	{"sluice":2,"turret":1,"lantern_post":7}	0	0
12	91.6	3	64	180	0	100	100	0	12	8	0	0	5	5	{"sluice":2,"turret":1,"lantern_post":7}	0	0
13	99.2	3	93	240	0	100	100	0	12	6	0	0	6	5	{"sluice":3,"turret":1,"lantern_post":7}	0	0
14	103.2	3	77	240	0	100	100	0	12	5	0	0	7	5	{"sentry_beacon":1,"sluice":3,"turret":1,"lantern_post":7}	0	0
15	103.3	3	77	240	0	100	100	0	12	5	0	0	7	5	{"sentry_beacon":1,"sluice":3,"turret":1,"lantern_post":7}	0	0
16	117.1	3	31	240	0	100	100	0	12	1	0	0	8	5	{"sentry_beacon":1,"sluice":3,"turret":2,"lantern_post":7}	3	0
17	120	4	34	240	0	100	100	0	12	11	0	0	8	5	{"sentry_beacon":1,"sluice":3,"turret":2,"lantern_post":7}	0	0
18	122.8	4	43	240	0	100	100	0	12	6	0	0	8	5	{"sentry_beacon":1,"sluice":3,"turret":2,"lantern_post":7}	3	0
19	122.9	4	43	240	0	100	100	0	12	6	0	0	8	5	{"sentry_beacon":1,"sluice":3,"turret":2,"lantern_post":7}	0	0
20	130.4	4	47	270	0	100	100	0	12	7	2	0	9	5	{"sentry_beacon":2,"sluice":3,"turret":2,"lantern_post":7}	3	0
21	132.5	4	39	270	0	100	100	0	12	4	1	0	10	4	{"sentry_beacon":2,"sluice":3,"turret":2,"lantern_post":7}	0	0
22	133.9	4	72	300	0	100	100	0	12	2	0	0	10	4	{"sentry_beacon":2,"sluice":3,"turret":2,"lantern_post":7}	0	0
23	133.9	4	72	300	0	100	100	0	12	2	0	0	10	4	{"sentry_beacon":2,"sluice":3,"turret":2,"lantern_post":7}	0	0
24	137.8	4	78	300	0	100	100	0	12	2	0	0	10	4	{"sentry_beacon":2,"sluice":3,"turret":2,"lantern_post":7}	3	0
25	150	5	100	300	0	100	100	0	12	12	0	0	10	4	{"sentry_beacon":2,"sluice":3,"turret":2,"lantern_post":7}	0	0
26	150.3	5	100	300	0	100	100	0	12	12	0	0	10	4	{"sentry_beacon":2,"sluice":3,"turret":2,"lantern_post":7}	0	0
27	152.4	5	5	300	0	100	100	0	12	9	0	0	11	4	{"sentry_beacon":2,"sluice":3,"turret":3,"lantern_post":7}	3	0
28	156	5	44	330	0	100	100	0	12	0	0	0	11	4	{"sentry_beacon":2,"sluice":3,"turret":3,"lantern_post":7}	0	0
29	160.3	5	80	360	0	100	100	0	12	8	1	0	11	4	{"sentry_beacon":2,"sluice":3,"turret":3,"lantern_post":7}	0	0
30	161.2	5	80	360	0	100	100	0	12	6	1	0	11	4	{"sentry_beacon":2,"sluice":3,"turret":3,"lantern_post":7}	3	0
31	161.4	5	80	360	0	100	100	0	12	5	1	0	11	4	{"sentry_beacon":2,"sluice":3,"turret":3,"lantern_post":7}	0	0
32	162.5	5	80	360	0	100	100	0	12	3	0	0	11	4	{"sentry_beacon":2,"sluice":3,"turret":3,"lantern_post":7}	0	0
33	176.7	5	62	360	0	100	100	0	12	1	0	0	12	4	{"sentry_beacon":3,"sluice":3,"turret":3,"lantern_post":7}	3	0
34	180	6	71	360	0	100	100	0	12	12	0	0	12	4	{"sentry_beacon":3,"sluice":3,"turret":3,"lantern_post":7}	0	0
